Иванов Иван Иванович, 85588869875, 12.10.2012, 12.10.2014, 0, 0
Иван Иван Иванович, 11584569875, 13.10.2012, 12.10.2014, 0, 0
Ива Иван Иванович, 22584569875, 14.10.2012, 12.10.2014, 0, 0
Ивано Иван Иванович, 33584569875, 15.10.2012, 12.10.2014, 0, 0
Иванова Иван Иванович, 44584569875, 16.10.2012, 12.10.2014, 0, 0
Ив Иван Иванович, 55584569875, 17.10.2012, 12.10.2014, 0, 0
Иванович Иван Иванович, 66584569875, 18.10.2012, 12.10.2014, 0, 0
Иванко Иван Иванович, 77584569875, 19.10.2012, 12.10.2014, 0, 0
Ивановы Иван Иванович, 88584569875, 22.10.2012, 12.10.2014, 0, 0
Ивановен Иван Иванович, 99584569875, 23.10.2012, 12.10.2014, 0, 0
